account_value,datadate,daily_return,Date
1359653.7006993222,20180226,0.0,2018-02-26
1359653.7006993222,20180227,0.0,2018-02-27
1359653.7006993222,20180228,0.0,2018-02-28
1359653.7006993222,20180301,0.0,2018-03-01
1359653.7006993222,20180302,0.0,2018-03-02
1359653.7006993222,20180305,0.0,2018-03-05
1359653.7006993222,20180306,0.0,2018-03-06
1359653.7006993222,20180307,0.0,2018-03-07
1359653.7006993222,20180308,0.0,2018-03-08
1359653.7006993222,20180309,0.0,2018-03-09
1359653.7006993222,20180312,0.0,2018-03-12
1359653.7006993222,20180313,0.0,2018-03-13
1359653.7006993222,20180314,0.0,2018-03-14
1359653.7006993222,20180315,0.0,2018-03-15
1359653.7006993222,20180316,0.0,2018-03-16
1357951.767246062,20180319,-0.001251740389766054,2018-03-19
1357984.0014153728,20180320,2.373734479266254e-05,2018-03-20
1358094.1692531805,20180321,8.112602040433181e-05,2018-03-21
1352772.888635885,20180322,-0.003918197086599462,2018-03-22
1348651.7038358888,20180323,-0.003046472053525484,2018-03-23
1354997.1765842382,20180326,0.0047050492950118095,2018-03-26
1351431.7299304458,20180327,-0.0026313314266679377,2018-03-27
1352467.5135110677,20180328,0.0007664342620365971,2018-03-28
1355521.3405271512,20180329,0.002257967001481287,2018-03-29
1346620.0303575164,20180402,-0.006566706036640668,2018-04-02
1352798.0731027378,20180403,0.004587814384122257,2018-04-03
1357261.240371468,20180404,0.003299211728246876,2018-04-04
1357261.240371468,20180405,0.0,2018-04-05
1350413.5456253216,20180406,-0.005045229718836031,2018-04-06
1351303.8185693468,20180409,0.0006592594889982539,2018-04-09
1360810.2096544437,20180410,0.00703497685306731,2018-04-10
1357621.1952396436,20180411,-0.002343467437395219,2018-04-11
1363611.6881362866,20180412,0.00441249217207873,2018-04-12
1362053.7852899618,20180413,-0.0011424827609493038,2018-04-13
1369474.9454604906,20180416,0.005448507430966698,2018-04-16
1377363.5271666436,20180417,0.005760296478808824,2018-04-17
1379568.6225883123,20180418,0.0016009538354806452,2018-04-18
1370243.7503516166,20180419,-0.006759266689612353,2018-04-19
1369085.8070621318,20180420,-0.0008450637262076288,2018-04-20
1369085.8070621318,20180423,0.0,2018-04-23
1369085.8070621318,20180424,0.0,2018-04-24
1369085.8070621318,20180425,0.0,2018-04-25
1369085.8070621318,20180426,0.0,2018-04-26
1369085.8070621318,20180427,0.0,2018-04-27
1369085.8070621318,20180430,0.0,2018-04-30
1369085.8070621318,20180501,0.0,2018-05-01
1369085.8070621318,20180502,0.0,2018-05-02
1369085.8070621318,20180503,0.0,2018-05-03
1369085.8070621318,20180504,0.0,2018-05-04
1369085.8070621318,20180507,0.0,2018-05-07
1369085.8070621318,20180508,0.0,2018-05-08
1369085.8070621318,20180509,0.0,2018-05-09
1369085.8070621318,20180510,0.0,2018-05-10
1369085.8070621318,20180511,0.0,2018-05-11
1369085.8070621318,20180514,0.0,2018-05-14
1369085.8070621318,20180515,0.0,2018-05-15
1369686.350523315,20180516,0.00043864559700002026,2018-05-16
1369498.5081677085,20180517,-0.00013714260606789708,2018-05-17
1369269.4034724892,20180518,-0.00016729094179579462,2018-05-18
1371347.941366275,20180521,0.0015179904615663098,2018-05-21
1368481.8822007966,20180522,-0.0020899576825287314,2018-05-22
1369177.8393574457,20180523,0.0005085614692463825,2018-05-23
1367663.4869465188,20180524,-0.0011060304712773306,2018-05-24
1365843.0471722935,20180525,-0.001331058254899764,2018-05-25
